year,state,avg_wg,wg_diff
1975,DE,7.2847932287342347,0.0427123294357985
1976,DE,7.29625741829505,0.011464189560815186
1977,DE,7.3053697103814281,0.0091122920863782042
1978,DE,7.358375344804057,0.053005634422628845
1979,DE,7.357813480896974,-0.00056186390708301559
1980,DE,7.3226586406548764,-0.035154840242097585
1981,DE,7.34230759594294,0.019648955288063874
1982,DE,7.3778682915286247,0.035560695585684421
1983,DE,7.3669491953651161,-0.010919096163508613
1984,DE,7.3799964239509981,0.013047228585882031
1985,DE,7.3705686864075393,-0.0094277375434588251
1986,DE,7.3775676093272757,0.0069989229197364722
1987,DE,7.3894060724527328,0.01183846312545711
1988,DE,7.4367709365323744,0.047364864079641578
1989,DE,7.375778526185873,-0.06099241034650138
1990,DE,7.406275383072991,0.030496856887118007
1991,DE,7.36726623603379,-0.039009147039201331
1992,DE,7.3716328381953549,0.0043666021615651474
1993,DE,7.3736244777684892,0.0019916395731343073
1994,DE,7.3718378264824134,-0.0017866512860758021
1995,DE,7.3130090899611941,-0.058828736521219227
1996,DE,7.3159032043617467,0.0028941144005525388
1997,DE,7.2603692281719558,-0.055533976189790835
1998,DE,7.250545467740575,-0.00982376043138089
1999,DE,7.2329253066568251,-0.017620161083749863
2000,DE,7.2374661785521832,0.0045408718953581229
2001,DE,7.183220585075226,-0.054245593476957232
2002,DE,7.148162346043712,-0.035058239031513949
2003,DE,7.1639073747597344,0.015745028716022347
2004,DE,7.1875267703881622,0.023619395628427853
1969,FL,7.1785822865353923,
1970,FL,7.2042372656808515,0.025654979145459222
1971,FL,7.2198308664494313,0.015593600768579741
1972,FL,7.2238431094382429,0.0040122429888116429
1973,FL,7.2405408105752764,0.016697701137033505
1974,FL,7.2403294311246356,-0.00021137945064086949
1975,FL,7.2404244770681885,9.5045943552918288e-05
1976,FL,7.27061732098577,0.030192843917581591
1977,FL,7.2684401325533132,-0.0021771884324568447
1978,FL,7.2782280091077336,0.0097878765544203716
1979,FL,7.29855582585251,0.020327816744776683
1980,FL,7.3150907722440408,0.016534946391530525
1981,FL,7.3166114280669774,0.0015206558229365896
1982,FL,7.3175703828965455,0.00095895482956809275
1983,FL,7.3187030641772965,0.0011326812807510578
1984,FL,7.3281621215761641,0.009459057398867543
1985,FL,7.32315033867827,-0.005011782897893724
1986,FL,7.3166686683741755,-0.0064816703040948553
